sku,filename,human_classification,allowed_to_change,sha256_before
WWNM91451-0009,WWNM91451-0009.png,approved,False,d8c550807ce312e5b368f348c3e7c4fe0d42c0e37a5c0498631ba518569fa1f9
WWNWDA2115.BA0043,WWNWDA2115.BA0043.png,approved,False,d3dcc1efec9b3d33e10f09dbfca4b2d29d3d4ceca43dee122b278c5b3a692078
WWNA17376211B1A1,WWNA17376211B1A1.png,acceptable variation,False,6af2b5f7099c1354bbf1a0ff168284b57a732bbd310137b99a9518c2465a9dcb
WWN424.10.40.20.02.002,WWN424.10.40.20.02.002.png,approved,False,a55f83911e253343ac6d61ba949cc55b978984037e6aa10dde80c4c9afdd2f97
W2179,W2179.png,acceptable variation,False,2726b0198917aeccdd8f65106978a551de2adc108843df43c1900a726d993efe
WWNA77330121A2A1,WWNA77330121A2A1.png,approved,False,22d50ab8b8f36efa44828a73203c8b578bc1cd13eeac7609ad99f37bbdcfdfd7
W2139,W2139.png,acceptable variation,False,d4304736e15434e312d9d3b8342a21613e279aac8db3fa6f2d728ee35610bf55
WWNR32150162,WWNR32150162.png,approved,False,7148e994998a35357a4dbae403eb25421fc4b33fb094fec494a2dcbbe9c0bce6
WWNA77320D91K1P1,WWNA77320D91K1P1.png,approved,False,1583b6d64380b407479e36765865b70ceb98988851a715e754fed80cd92130cf
W1392,W1392.png,acceptable variation,False,e031ccd99e066c30c2bff782a724eb15db4ac919af8505682a0bc2a6626d27b5
W265,W265.png,true failure,True,73acab65722769883a5cd83a2ec91df1fb396731d1e5e3e1c27dc9e173aac8f9
CRM0A10771,CRM0A10771.png,approved,False,51b125bb2723c489166bd991c62ed370fc67f90c6bca34cc96828a920dcf0f65
WWNA17377211C1A1,WWNA17377211C1A1.png,approved,False,954dd2ef4126d9ede8c568cd8a1b5f47809cf0d561c0b385d38b7bfb2ee7973f
WWNM51000-0004,WWNM51000-0004.png,acceptable variation,False,98173bc1b99b18ece686e860c58226efcf2e9d9a687c243676f1a929788f23e9
W2153,W2153.png,approved,False,5010a444c52708319360a3a0de40c9c595c8c4b684a070848e18f439e62b12bb
WWNA17378E71C1S1,WWNA17378E71C1S1.png,acceptable variation,False,a2d4df78002f4bf94f334e9fa653deaf80be573cd4f3f50748754c542711a6ac
WWN10822,WWN10822.png,acceptable variation,False,73a457ccd2dd795d7a942a7e0c5a720f0b1bf96d0a5fb15c2e3195d4333f6178
W1282,W1282.png,true failure,True,c05edb43bce7a67335c85314e1849179d060811f99b0bf9d7b4363dad0900bb4
WW866,WW866.png,true failure,True,d5e1cd75a28187f9789a7fd846adf822ad3c7e01868d93602070a69edbb3677e
WWNWSRN0030,WWNWSRN0030.png,acceptable variation,False,5481b99781ef0fc9f4aedde2589cb96919fc3c1a5d57291e57e86d269c262f22
WWN10796,WWN10796.png,acceptable variation,False,95113cda4a3ec27b03f484ce978f48c723f0e5ca6cbb7d7be712a5ed98348e59
W1112,W1112.png,acceptable variation,False,7408866308bfe9740a2642f5585cc7944559f7b3a0504e7cfc4c2dde3db2ef26
W1355,W1355.png,approved,False,a02c91b1b192dfc589a9371102ad8e7663d900a63016573a34298ec1174babe7
W295,W295.png,true failure,True,c86668dc47df94940b923a1cef52462463b5a9aa941870c2d790343927281a8f
W2113,W2113.png,approved,False,8e2797990fd9272d1fc875bf21559ca0190171dbb2f5024bb68974445e6dd17e
