creation_id,brand,name,cost_usd,retail_usd,in_packs,image_count,image_files
35490,Doxa,doxa sub 300 beta professional black dial automatic divers 830 10 351 ,1849,2490,$1000,3,1.jpg;2.jpg;3.jpg
31274,Edox,edox co 1 chronograph rubber strap blue dial automatic divers 01128 3n,2449,4051,$5000,3,1.jpg;2.jpg;3.jpg
31275,Edox,edox co 1 chronograph rubber strap black dial automatic divers 01128 3,2349,4051,$5000,3,1.jpg;2.jpg;3.jpg
30585,Grand Seiko,grand seiko elegance limited edition 20th anniversary stainless steel ,4999,7400,$5000,3,1.jpg;2.jpg;3.jpg
30586,Grand Seiko,grand seiko elegance gmt stainless steel silver dial automatic sbge269,5499,6500,$5000,3,1.jpg;2.jpg;3.jpg
12029,IWC,iwc portofino automatic iw356502 mens watch,4549,5200,$5000,3,1.jpg;2.jpg;3.jpg
30005,IWC,iwc portugieser leather strap silver dial automatic iw358304 mens watc,6449,7500,$1000|$5000,3,1.jpg;2.jpg;3.jpg
30006,IWC,iwc portofino chronograph leather strap black dial automatic iw391029 ,6049,6900,$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
14684,Invicta,invicta pro diver 17566 chronograph quartz mens watch,91,795,$500,3,1.webp;2.webp;3.webp
7078,Invicta,invicta pro diver quartz chronograph silver dial 0071 mens watch,109,895,$500|$1000,3,1.webp;2.webp;3.webp
7948,Invicta,invicta mako pro diver blue dial 200m 9204ob mens watch,63,395,$250|$500,3,1.webp;2.webp;3.webp
9448,Invicta,invicta pro diver chronograph 200m 0069 mens watch,107,895,$500|$1000,3,1.webp;2.webp;3.webp
23746,Mazzucato,mazzucato rim scuba black reversible twin dial automatic sub02 bkcg9 1,2200,2644,$1000,3,1.jpg;2.jpg;3.jpg
29343,Omega,omega seamaster rubber strap black dial automatic divers 210 32 42 20 ,5234,5900,$250|$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
30533,Omega,omega seamaster stainless steel grey dial automatic divers 210 30 42 2,5544,6200,$500|$1000|$5000,2,1.jpg;2.jpg
30534,Omega,omega seamaster rubber strap blue dial automatic divers 210 32 42 20 0,5244,5900,$250|$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
30535,Omega,omega seamaster rubber strap green dial automatic divers 210 32 42 20 ,5249,5900,$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
30536,Omega,omega seamaster planet ocean stainless steel black dial automatic dive,6594,7400,$250|$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
21403,Orient,orient m force black dial automatic divers ra ac0n01b10b 200m mens wat,285,665,$250|$500|$1000|$5000,3,1.webp;2.webp;3.webp
21405,Orient,orient m force green dial stainless steel automatic divers ra ac0n03e1,291,753,$125|$250|$500|$1000|$5000,3,1.webp;2.webp;3.webp
24565,Orient,orient m force limited edition red dial automatic divers ra ac0l09r00b,349,915,$125|$250|$500|$1000|$5000,3,1.webp;2.webp;3.webp
24970,Orient,orient m force ac0l sports stainless steel blue dial automatic divers ,397,870,$500|$1000|$5000,3,1.webp;2.webp;3.webp
24971,Orient,orient m force ac0l sports stainless steel orange dial automatic diver,383,915,$125|$250|$500|$1000|$5000,3,1.webp;2.webp;3.webp
25910,Orient,orient sports kamasu mako iii stainless steel blue dial automatic dive,245,470,$250|$500,2,1.webp;3.webp
27441,Orient,orient star contemporary stainless steel blue dial automatic re av0b08,550,1331,$1000,3,1.webp;2.webp;3.webp
31374,Orient,orient star keshiki limited edition stainless steel open heart blue gr,663,1301,$1000,3,1.webp;2.webp;3.webp
2661,Seiko,seiko 5 sports automatic snzg13 snzg13k1 snzg13k mens watch,215,750,$125|$250|$500|$1000|$5000,3,1.webp;2.webp;3.webp
29574,Seiko,refurbished seiko black dial automatic divers skx007k2 mens watch,625,1300,$125|$250|$500|$1000|$5000,3,1.webp;2.webp;3.webp
712,Seiko,seiko automatic divers 200m jubilee bracelet skx009k2 mens watch,799,1300,$1000,3,1.webp;2.webp;3.webp
12554,Tag Heuer,tag heuer formula 1 automatic waz2011 ba0843 mens watch,2279,2900,$1000,3,1.jpg;2.jpg;3.jpg
25072,Tag Heuer,tag heuer carrera stainless steel blue dial automatic wbn2012 ba0640 1,3049,3900,$5000,3,1.jpg;2.jpg;3.jpg
25077,Tag Heuer,tag heuer aquaracer professional 300 grey dial automatic divers wbp201,2513,4100,$125|$250|$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
25654,Tag Heuer,tag heuer formula 1 stainless steel blue dial quartz waz1118 ba0875 20,1429,1800,$1000,3,1.jpg;2.jpg;3.jpg
25655,Tag Heuer,tag heuer formula 1 chronograph sunray blue dial quartz caz101k ba0842,1645,2100,$1000,3,1.jpg;2.jpg;3.jpg
28962,Tag Heuer,tag heuer aquaracer professional date titanium green dial automatic di,3765,4671,$1000|$5000,3,1.jpg;2.jpg;3.jpg
29670,Tag Heuer,tag heuer carrera stainless steel turquoise blue dial automatic wbn231,2815,3300,$5000,3,1.jpg;2.jpg;3.jpg
30560,Tag Heuer,tag heuer formula 1 chronograph rubber strap black dial automatic dive,4153,5150,$5000,3,1.jpg;2.jpg;3.jpg
30564,Tag Heuer,tag heuer aquaracer rubber strap black dial automatic divers wbp5110 f,3381,4963,$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
7429,Tag Heuer,tag heuer formula 1 200m waz1112 ba0875 mens watch,1399,2000,$1000,3,1.jpg;2.jpg;3.jpg
8662,Tag Heuer,tag heuer formula 1 black dial waz1110 ft8023 mens watch,1299,1700,$1000,3,1.jpg;2.jpg;3.jpg
9894,Tag Heuer,tag heuer formula 1 chronograph quartz tachymeter 200m caz1010 ba0842 ,1736,2300,$1000,3,1.jpg;2.jpg;3.jpg
17000,Tissot,tissot carson premium t122 210 11 033 00 t1222101103300 quartz womens ,308,895,$500|$1000|$5000,3,1.webp;2.webp;3.webp
17001,Tissot,tissot carson premium t122 210 16 033 00 t1222101603300 quartz womens ,271,895,$500|$1000|$5000,3,1.webp;2.webp;3.webp
23916,Tissot,tissot seastar 2000 professional powermatic 80 grey dial divers t120 6,930,1325,$1000,1,1.webp
26525,Tissot,tissot prx t classic powermatic 80 black dial automatic t137 207 11 05,649,1175,$500|$1000,3,1.webp;2.webp;3.webp
35339,Tissot,tissot seastar 1000 stainless steel black dial quartz divers t120 410 ,469,900,$500|$1000,3,1.webp;2.webp;3.webp
35843,Tissot,tissot pr516 chronograph two tone stainless steel black dial quartz t1,481,2150,$125|$250|$500|$1000|$5000,3,1.webp;2.webp;3.webp
35844,Tissot,tissot pr516 chronograph stainless steel white dial automatic t149 462,1527,2150,$1000,3,1.webp;2.webp;3.webp
